SEMANA,DÍA EN NÚMERO DE LA SEMANA,DÍA DE LA SEMANA,MES,NOMBRE MEDIO,TIER,CORRESPONSAL 1,CORRESPONSAL 2,ENCABEZADO,TEMA,TEMA 2,PALABRA CLAVE,COYUNTURA,ACTOR OFICIAL 1,ACTOR OFICIAL 2,ACTOR OFICIAL 3,ACTOR NO OFICIAL 1,ACTOR NO OFICIAL 2,ACTOR NO OFICIAL 3,ESTADO DE LA REPÚBLICA,ESTADO DE LA REPÚBLICA  2,TENDENCIA,IMPRESA,PRIMERA PLANA,AÑO
1,1,Viernes,Enero,La Opinión,3,Gardenia Mendoza Aguilar,ND,Neva a 10 bajo cero y… ¡quieren cruzar la frontera!,Social/Turismo,ND,Heladas,Coyuntura,INM,ND,ND,Fronteras Compasivas,Coalición de Derechos Humanos de Tucson,ND,Varios,ND,Informativa,SÍ,SÍ,2016
1,1,Viernes,Enero,Wall Street Journal,4,Anthony Richard Harrup,ND,"Mexican E-Commerce Grows, but Requires Some Coaxing",Económico,ND,Comercio,Coyuntura,ND,ND,ND,Amazon,Linio,Liverpool,ND,ND,Balanceada,NO,NO,2016
1,1,Viernes,Enero,Univision,4,ND,ND,México estrena número nacional para emergencias: el 911,Presidente,Seguridad,Pacto Seguridad,Crisis 2014,IFT,ND,ND,Cruz Roja,ND,ND,ND,ND,Positiva,NO,NO,2016
1,2,Sábado,Enero,San Diego Union Tribune,2,ND,ND,Suspicious fire destroys vehicles at U.S. Consulate in Tijuana,Social/Turismo,ND,Accidentes,Coyuntura,Consulado de EUA en Tijuana,Preeti Shah,PGR,ND,ND,ND,Baja California,ND,Informativa,NO,NO,2016
1,2,Sábado,Enero,Fox News,4,ND,ND,FBI investigating fire that destroyed cars outside US consulate in Tijuana,Social/Turismo,ND,Accidentes,Coyuntura,Consulado de EUA en Tijuana,FBI,Preeti Shah,San Diego Union Tribune,ND,ND,Baja California,ND,Informativa,NO,NO,2016
1,2,Sábado,Enero,Washington Post,4,ND,ND,3 charts that challenge the conventional wisdom of 2015,Político,Social/Turismo,Migración,Coyuntura,Inegi,Oficina del Censo EUA,Presidente Obama,Pew Center,ND,ND,ND,ND,Negativa,NO,NO,2016
1,2,Sábado,Enero,ABC News,4,ND,ND,Why 'Affluenza' Teen Ethan Couch Could Be in Mexico for Months or Back in Texas Within Days,Político,ND,Cooperación,Coyuntura,Servicio de Alguaciles,ND,ND,Fernando Benítez,Ethan Couch,Tonya Couch,Jalisco,Distrito Federal,Informativa,NO,NO,2016
1,2,Sábado,Enero,CNN en Español,4,ND,ND,"Asesinan a alcaldesa de Temixco, Morelos, horas después de asumir el cargo",Seguridad,Político,Amenazas del Narco,Coyuntura,Gisela Mota,Graco Ramírez,ND,La Unión de Morelos,ND,ND,Morelos,ND,Negativa,NO,NO,2016
1,2,Sábado,Enero,Univision,4,ND,ND,Alcaldesa mexicana asesinada,Seguridad,Político,Amenazas del Narco,Coyuntura,Gisela Mota,Graco Ramírez,Javier Pérez,Formato 21,Reforma,ND,Morelos,ND,Negativa,NO,NO,2016
1,2,Sábado,Enero,CBS News,3,ND,ND,"""Affluenza"" teen Ethan Couch hires high-profile Mexican lawyer ",Político,ND,Cooperación,Coyuntura,Javier López,Servicio de Alguaciles EUA,Jean Boyd,Tonya Couch,Ethan Couch,Fernando Benítez,Jalisco,ND,Informativa,NO,NO,2016
1,2,Sábado,Enero,Univision,4,ND,ND,Deportar a Couch “violaría sus derechos”,Seguridad,ND,Cooperación,Coyuntura,ND,ND,ND,Ethan Couch,Fernando Benítez,Tonya Couch,Jalisco,ND,Informativa,NO,NO,2016
1,3,domingo,Enero,CNN,4,ND,ND,Mexican mayor slain one day after taking office,Seguridad,político,Amenazas del narco,Coyuntura,Gisela Mota,Javier Pérez,ND,ND,ND,ND,Morelos,ND,Negativa,NO,NO,2016
1,3,domingo,Enero,USA Today,3,ND,ND,Mexico mayor slain one day after inauguration,Seguridad,político,Amenazas del narco,Coyuntura,Gisela Mota,Graco Ramírez,Javier Pérez,Ramón Castro,ND,ND,Morelos,ND,Negativa,NO,NO,2016
1,3,domingo,Enero,CNN,4,ND,ND,Caught in 'never-ending' violence,Seguridad,ND,Hechos de violencia,Coyuntura,ND,ND,ND,Tom King,ND,ND,Nuevo León,ND,Negativa,NO,NO,2016
1,3,domingo,Enero,New York Times,4,ND,ND,CONSUMERS WON'T KNOW MEAT ORIGIN AFTER US ENDS LABELING LAW,Económico,ND,Comercio,Coyuntura,OMC,Congreso EUA,México,Sindicato Nacional de Granjeros EUA,ND,ND,ND,ND,Positiva,NO,NO,2016
